Anno;Quartiere;NIL;Uomini;Donne;Totale;Minori;Stranieri;Famiglie registrate in anagrafe;Famiglie unipersonali registrate in anagrafe;80 e più soli fam registrate in anagrafe;Nati vivi;Nati fuori dal matrimonio;Nati con almeno un genitore straniero;Morti;Emigrati;Immigrati;80 e più;65 e più;Prima cittadinanza;residenti prima cittadinanza;Seconda cittadinanza;residenti seconda cittadinanza;Terza cittadinanza;residenti terza cittadinanza;Scuola dell'infanzia (numero);Scuola primaria (numero);Scuola secondaria di primo grado (numero);Area (metri quadrati)
2012;Brera;2;8292;9938;18230;2876;2666;10289;5684;674;160;51;33;151;595;684;1233;4142;Filippine;446;Sri Lanka (ex Ceylon);252;Francia;142;6;6;5;1637395,23
2012;Bruzzano;83;6137;6312;12449;1961;2217;6020;2509;297;105;49;35;125;269;345;673;2832;Egitto;335;Perù;248;Romania;199;3;2;1;1667691,29
2012;Buenos Aires - Porta Venezia - Porta Monforte;21;29122;33214;62336;9175;8583;34688;19477;2392;506;199;104;508;1605;2201;4350;14034;Filippine;1435;Sri Lanka (ex Ceylon);576;Egitto;561;10;5;4;2877542,27
2012;Cantalupa;47;242;229;471;71;74;243;122;5;2;1;2;5;32;18;6;76;Egitto;13;Cinese, Repubblica Popolare;10;Bulgaria;8;0;0;0;926716,81
2012;Cascina Merlata;73;391;76;467;19;45;415;10;0;1;1;1;2;70;136;0;17;Cinese, Repubblica Popolare;10;Marocco;7;Romania;7;0;0;0;1729126,9
2012;Chiaravalle;34;598;557;1155;155;167;587;272;23;7;2;2;9;22;43;51;220;Bangladesh;28;Sri Lanka (ex Ceylon);19;Filippine;17;1;0;0;311640,12
2012;Cimiano - Rottole - Q.re Feltre;18;9196;10779;19975;2729;3101;10747;5433;1047;156;50;58;282;482;599;2092;5782;Filippine;615;Perù;413;Egitto;320;7;4;3;4971969,5
2012;Citta' studi;22;17049;20016;37065;4931;5859;21239;12191;1870;304;101;86;447;965;1346;3260;9515;Filippine;868;Perù;655;Egitto;439;7;9;6;2207487,44
2012;Comasina;82;4727;4868;9595;1704;3097;4684;2151;360;85;38;51;90;275;369;703;1970;Cinese, Repubblica Popolare;907;Egitto;416;Perù;304;3;2;2;926734,56
2012;Corsica;25;8687;10416;19103;2567;2952;10713;5911;867;160;52;37;212;436;638;1650;4816;Filippine;663;Perù;261;Ecuador;217;6;3;2;1081329,7
