Id_NIL;NIL;Titolo di studio;Valori
85;Parco delle Abbazie  ;Titoli universitari o para-universitari;42
86;Parco dei Navigli  ;Titoli universitari o para-universitari;56
87;Parco Agricolo Sud  ;Titoli universitari o para-universitari;20
88;Parco Bosco in Citta'  ;Titoli universitari o para-universitari;51
1;Duomo  ;Minori di 6 anni;791
2;Brera  ;Minori di 6 anni;1033
3;Giardini Porta Venezia  ;Minori di 6 anni;2
4;Guastalla  ;Minori di 6 anni;831
5;Vigentina  ;Minori di 6 anni;655
6;Ticinese  ;Minori di 6 anni;894
7;Magenta - S. Vittore  ;Minori di 6 anni;912
9;Garibaldi Repubblica  ;Minori di 6 anni;208
10;Centrale  ;Minori di 6 anni;854
11;Isola  ;Minori di 6 anni;1055
12;Maciachini - Maggiolina  ;Minori di 6 anni;1238
13;Greco  ;Minori di 6 anni;851
14;Niguarda - Ca Granda ;Minori di 6 anni;1628
15;Bicocca  ;Minori di 6 anni;435
16;Viale Monza  ;Minori di 6 anni;1463
17;Adriano  ;Minori di 6 anni;977
18;Parco Lambro - Cimiano  ;Minori di 6 anni;843
19;Padova  ;Minori di 6 anni;1681
20;Loreto  ;Minori di 6 anni;2098
21;Buenos Aires - Venezia  ;Minori di 6 anni;3053
22;Citt_tudi  ;Minori di 6 anni;1593
23;Lambrate  ;Minori di 6 anni;578
24;Parco Forlanini - Ortica  ;Minori di 6 anni;50
25;Corsica  ;Minori di 6 anni;924
26;XXII Marzo  ;Minori di 6 anni;1637
27;Porta Romana  ;Minori di 6 anni;856
28;Umbria - Molise  ;Minori di 6 anni;1097
29;Ortomercato  ;Minori di 6 anni;180
30;Mecenate  ;Minori di 6 anni;939
31;Parco Monluè Ponte Lambro  ;Minori di 6 anni;249
32;Triulzo Superiore  ;Minori di 6 anni;101
33;Rogoredo  ;Minori di 6 anni;615
34;Chiaravalle  ;Minori di 6 anni;36
35;Lodi - Corvetto  ;Minori di 6 anni;1557
36;Scalo Romana  ;Minori di 6 anni;540
37;Ex OM - Morivione  ;Minori di 6 anni;412
38;Ripamonti  ;Minori di 6 anni;660
39;Quintosole  ;Minori di 6 anni;21
40;Ronchetto delle Rane  ;Minori di 6 anni;56
41;Gratosoglio - Ticinello  ;Minori di 6 anni;741
42;Stadera  ;Minori di 6 anni;1528
43;Tibaldi  ;Minori di 6 anni;506
44;Navigli  ;Minori di 6 anni;888
45;S. Cristoforo  ;Minori di 6 anni;669
46;Barona  ;Minori di 6 anni;515
47;Cantalupa  ;Minori di 6 anni;36
48;Ronchetto sul Naviglio  ;Minori di 6 anni;671
49;Giambellino  ;Minori di 6 anni;1654
50;Tortona  ;Minori di 6 anni;710
51;Washington  ;Minori di 6 anni;1519
52;Bande Nere  ;Minori di 6 anni;1907
53;Lorenteggio  ;Minori di 6 anni;577
54;Muggiano  ;Minori di 6 anni;275
55;Baggio  ;Minori di 6 anni;1396
56;Forze Armate  ;Minori di 6 anni;996
57;Selinunte  ;Minori di 6 anni;1209
58;De Angeli - Monte Rosa  ;Minori di 6 anni;939
59;Tre Torri  ;Minori di 6 anni;51
60;S. Siro  ;Minori di 6 anni;628
61;Quarto Cagnino  ;Minori di 6 anni;461
62;Quinto Romano  ;Minori di 6 anni;158
63;Figino  ;Minori di 6 anni;80
64;Trenno  ;Minori di 6 anni;125
65;Gallaratese  ;Minori di 6 anni;1271
66;QT 8;Minori di 6 anni;144
67;Portello  ;Minori di 6 anni;330
68;Pagano  ;Minori di 6 anni;938
69;Sarpi  ;Minori di 6 anni;1646
70;Ghisolfa  ;Minori di 6 anni;980
71;Villapizzone  ;Minori di 6 anni;2220
72;Maggiore - Musocco  ;Minori di 6 anni;249
73;Cascina Triulza - Expo  ;Minori di 6 anni;3
74;Sacco  ;Minori di 6 anni;3
75;Stephenson  ;Minori di 6 anni;0
76;Quarto Oggiaro  ;Minori di 6 anni;1495
77;Bovisa  ;Minori di 6 anni;666
78;Farini  ;Minori di 6 anni;201
79;Dergano  ;Minori di 6 anni;1219
80;Affori  ;Minori di 6 anni;1404
81;Bovisasca  ;Minori di 6 anni;297
82;Comasina  ;Minori di 6 anni;601
83;Bruzzano  ;Minori di 6 anni;667
84;Parco Nord  ;Minori di 6 anni;5
85;Parco delle Abbazie  ;Minori di 6 anni;37
86;Parco dei Navigli  ;Minori di 6 anni;24
87;Parco Agricolo Sud  ;Minori di 6 anni;20
88;Parco Bosco in Citta'  ;Minori di 6 anni;51
